review_text,rating,date,customer_type
The room was spacious. Really enjoyed my stay!,4,2025-03-14,Family
The staff was unwelcoming. Very disappointed with the service.,2,2026-01-05,Couple
The room was okay. Nothing special but met basic needs.,3,2026-01-21,Group
The cleanliness was dirty. Very disappointed with the service.,1,2025-07-15,Couple
The cleanliness was fresh. Really enjoyed my stay!,5,2025-08-03,Solo
The room was quiet. Really enjoyed my stay! I would consider coming back if things improve.,4,2025-09-01,Group
The room was comfortable. Really enjoyed my stay!,5,2025-11-20,Couple
The food was limited. Very disappointed with the service.,1,2025-12-21,Solo
The room was small. Very disappointed with the service.,2,2025-02-14,Solo
The room was spacious. Really enjoyed my stay! I would consider coming back if things improve.,5,2025-01-27,Solo
The cleanliness was dusty. Very disappointed with the service.,2,2025-03-07,Family
The cleanliness was okay. Nothing special but met basic needs.,3,2025-12-05,Group
The cleanliness was dirty. Very disappointed with the service.,2,2025-01-31,Group
The cleanliness was okay. Nothing special but met basic needs.,3,2026-01-01,Family
The room was dirty. Very disappointed with the service.,1,2025-07-08,Solo
The staff was kind. Really enjoyed my stay!,5,2025-05-29,Business
The room was small. Very disappointed with the service.,2,2025-08-31,Family
The cleanliness was fresh. Really enjoyed my stay!,4,2025-10-31,Group
The cleanliness was moldy. Very disappointed with the service.,1,2026-02-04,Group
The cleanliness was fresh. Really enjoyed my stay! I would consider coming back if things improve.,4,2026-01-30,Group
The staff was unwelcoming. Very disappointed with the service.,1,2025-02-14,Group
The cleanliness was fresh. Really enjoyed my stay!,5,2025-10-24,Group
The food was expensive. Very disappointed with the service. I would consider coming back if things improve.,1,2025-12-18,Business
The room was quiet. Really enjoyed my stay!,4,2025-11-18,Couple
The staff was kind. Really enjoyed my stay!,5,2025-10-13,Group
The food was breakfast. Really enjoyed my stay! I would consider coming back if things improve.,4,2025-02-10,Group
The staff was okay. Nothing special but met basic needs.,3,2025-06-20,Group
The cleanliness was okay. Nothing special but met basic needs.,3,2026-01-03,Group
The staff was kind. Really enjoyed my stay!,4,2025-04-27,Family
The cleanliness was fresh. Really enjoyed my stay!,5,2025-11-11,Family
The food was delicious. Really enjoyed my stay! I would consider coming back if things improve.,5,2025-12-19,Family
The room was bed. Really enjoyed my stay!,4,2025-11-13,Solo
The room was noisy. Very disappointed with the service.,2,2025-07-14,Couple
The staff was friendly. Really enjoyed my stay!,5,2025-10-17,Couple
The cleanliness was fresh. Really enjoyed my stay!,5,2025-07-03,Couple
The staff was professional. Really enjoyed my stay!,5,2025-01-26,Family
The room was clean. Really enjoyed my stay!,5,2025-01-07,Family
The staff was helpful. Really enjoyed my stay!,5,2025-11-06,Family
The cleanliness was hygienic. Really enjoyed my stay!,4,2025-08-28,Family
The cleanliness was okay. Nothing special but met basic needs.,3,2025-07-24,Family
The cleanliness was okay. Nothing special but met basic needs.,3,2025-05-12,Business
The room was bed. Really enjoyed my stay!,4,2025-02-15,Solo
The cleanliness was okay. Nothing special but met basic needs.,3,2025-09-11,Solo
The staff was okay. Nothing special but met basic needs.,3,2025-02-04,Couple
The room was spacious. Really enjoyed my stay!,5,2025-02-03,Couple
The food was buffet. Really enjoyed my stay!,4,2025-04-29,Business
The room was clean. Really enjoyed my stay! I would consider coming back if things improve.,4,2025-06-09,Solo
