review_text,rating,date,customer_type,cleaned_text,sentiment
The cleanliness was fresh. Really enjoyed my stay!,5,2025-11-11,Family,the cleanliness was fresh really enjoyed my stay,Positive
The cleanliness was fresh. Really enjoyed my stay!,5,2025-03-03,Business,the cleanliness was fresh really enjoyed my stay,Positive
The staff was okay. Nothing special but met basic needs. I would consider coming back if things improve.,3,2025-02-16,Group,the staff was okay nothing special but met basic needs i would consider coming back if things improve,Neutral
The room was spacious. Really enjoyed my stay!,4,2026-01-16,Family,the room was spacious really enjoyed my stay,Positive
The staff was professional. Really enjoyed my stay!,4,2025-09-11,Solo,the staff was professional really enjoyed my stay,Positive
The food was okay. Nothing special but met basic needs.,3,2025-01-06,Couple,the food was okay nothing special but met basic needs,Neutral
The food was buffet. Really enjoyed my stay!,5,2026-01-16,Couple,the food was buffet really enjoyed my stay,Positive
The cleanliness was hygienic. Really enjoyed my stay!,5,2025-08-23,Solo,the cleanliness was hygienic really enjoyed my stay,Positive
The food was cold. Very disappointed with the service.,1,2025-02-09,Business,the food was cold very disappointed with the service,Negative
The food was expensive. Very disappointed with the service. I would consider coming back if things improve.,2,2025-01-08,Solo,the food was expensive very disappointed with the service i would consider coming back if things improve,Negative
The room was spacious. Really enjoyed my stay! I would consider coming back if things improve.,4,2025-02-11,Family,the room was spacious really enjoyed my stay i would consider coming back if things improve,Positive
The staff was professional. Really enjoyed my stay!,4,2025-10-30,Family,the staff was professional really enjoyed my stay,Positive
The staff was professional. Really enjoyed my stay! I would consider coming back if things improve.,4,2025-09-11,Solo,the staff was professional really enjoyed my stay i would consider coming back if things improve,Positive
The staff was unwelcoming. Very disappointed with the service. I would consider coming back if things improve.,2,2025-02-08,Solo,the staff was unwelcoming very disappointed with the service i would consider coming back if things improve,Negative
The cleanliness was spotless. Really enjoyed my stay!,5,2025-05-28,Business,the cleanliness was spotless really enjoyed my stay,Positive
The staff was kind. Really enjoyed my stay!,5,2025-04-05,Couple,the staff was kind really enjoyed my stay,Positive
The room was dirty. Very disappointed with the service.,1,2025-12-04,Family,the room was dirty very disappointed with the service,Negative
The staff was okay. Nothing special but met basic needs.,3,2025-09-19,Family,the staff was okay nothing special but met basic needs,Neutral
The food was buffet. Really enjoyed my stay!,4,2025-11-29,Family,the food was buffet really enjoyed my stay,Positive
The room was okay. Nothing special but met basic needs. I would consider coming back if things improve.,3,2025-07-19,Family,the room was okay nothing special but met basic needs i would consider coming back if things improve,Neutral
The cleanliness was okay. Nothing special but met basic needs.,3,2025-02-23,Business,the cleanliness was okay nothing special but met basic needs,Neutral
The cleanliness was spotless. Really enjoyed my stay!,5,2025-05-12,Solo,the cleanliness was spotless really enjoyed my stay,Positive
The staff was unwelcoming. Very disappointed with the service.,2,2025-07-12,Couple,the staff was unwelcoming very disappointed with the service,Negative
The food was limited. Very disappointed with the service.,2,2026-02-01,Family,the food was limited very disappointed with the service,Negative
The food was buffet. Really enjoyed my stay!,5,2025-06-23,Business,the food was buffet really enjoyed my stay,Positive
The room was okay. Nothing special but met basic needs.,3,2026-01-21,Group,the room was okay nothing special but met basic needs,Neutral
The cleanliness was fresh. Really enjoyed my stay!,4,2025-03-15,Solo,the cleanliness was fresh really enjoyed my stay,Positive
The staff was professional. Really enjoyed my stay! I would consider coming back if things improve.,4,2025-12-14,Family,the staff was professional really enjoyed my stay i would consider coming back if things improve,Positive
The room was okay. Nothing special but met basic needs. I would consider coming back if things improve.,3,2025-01-12,Family,the room was okay nothing special but met basic needs i would consider coming back if things improve,Neutral
The cleanliness was fresh. Really enjoyed my stay!,4,2025-04-14,Solo,the cleanliness was fresh really enjoyed my stay,Positive
The cleanliness was okay. Nothing special but met basic needs. I would consider coming back if things improve.,3,2025-10-15,Group,the cleanliness was okay nothing special but met basic needs i would consider coming back if things improve,Neutral
The cleanliness was fresh. Really enjoyed my stay!,4,2025-08-27,Couple,the cleanliness was fresh really enjoyed my stay,Positive
The room was comfortable. Really enjoyed my stay!,4,2025-05-04,Couple,the room was comfortable really enjoyed my stay,Positive
The staff was friendly. Really enjoyed my stay!,5,2025-03-30,Business,the staff was friendly really enjoyed my stay,Positive
The staff was friendly. Really enjoyed my stay!,5,2025-10-17,Couple,the staff was friendly really enjoyed my stay,Positive
The room was bed. Really enjoyed my stay!,4,2025-11-13,Solo,the room was bed really enjoyed my stay,Positive
The staff was kind. Really enjoyed my stay!,4,2025-05-25,Couple,the staff was kind really enjoyed my stay,Positive
The food was okay. Nothing special but met basic needs. I would consider coming back if things improve.,3,2025-04-13,Family,the food was okay nothing special but met basic needs i would consider coming back if things improve,Neutral
The staff was helpful. Really enjoyed my stay!,5,2025-11-10,Solo,the staff was helpful really enjoyed my stay,Positive
The cleanliness was okay. Nothing special but met basic needs. I would consider coming back if things improve.,3,2025-08-01,Business,the cleanliness was okay nothing special but met basic needs i would consider coming back if things improve,Neutral
The cleanliness was dirty. Very disappointed with the service.,1,2025-07-15,Couple,the cleanliness was dirty very disappointed with the service,Negative
The cleanliness was dusty. Very disappointed with the service. I would consider coming back if things improve.,2,2025-06-02,Family,the cleanliness was dusty very disappointed with the service i would consider coming back if things improve,Negative
The cleanliness was okay. Nothing special but met basic needs.,3,2025-11-01,Family,the cleanliness was okay nothing special but met basic needs,Neutral
The food was limited. Very disappointed with the service.,2,2025-06-06,Business,the food was limited very disappointed with the service,Negative
The room was noisy. Very disappointed with the service. I would consider coming back if things improve.,1,2025-10-13,Couple,the room was noisy very disappointed with the service i would consider coming back if things improve,Negative
The cleanliness was dusty. Very disappointed with the service.,1,2025-09-22,Family,the cleanliness was dusty very disappointed with the service,Negative
The room was noisy. Very disappointed with the service.,2,2025-04-08,Solo,the room was noisy very disappointed with the service,Negative
The cleanliness was hygienic. Really enjoyed my stay!,5,2025-12-24,Business,the cleanliness was hygienic really enjoyed my stay,Positive
The cleanliness was fresh. Really enjoyed my stay!,4,2025-04-09,Family,the cleanliness was fresh really enjoyed my stay,Positive
The room was comfortable. Really enjoyed my stay! I would consider coming back if things improve.,4,2025-07-07,Solo,the room was comfortable really enjoyed my stay i would consider coming back if things improve,Positive
The food was okay. Nothing special but met basic needs.,3,2025-03-20,Family,the food was okay nothing special but met basic needs,Neutral
The staff was rude. Very disappointed with the service.,1,2025-11-12,Solo,the staff was rude very disappointed with the service,Negative
The staff was rude. Very disappointed with the service. I would consider coming back if things improve.,1,2025-04-20,Couple,the staff was rude very disappointed with the service i would consider coming back if things improve,Negative
The food was tasty. Really enjoyed my stay! I would consider coming back if things improve.,5,2025-03-21,Family,the food was tasty really enjoyed my stay i would consider coming back if things improve,Positive
The staff was professional. Really enjoyed my stay!,4,2025-03-14,Couple,the staff was professional really enjoyed my stay,Positive
The food was expensive. Very disappointed with the service.,1,2025-08-12,Solo,the food was expensive very disappointed with the service,Negative
The cleanliness was okay. Nothing special but met basic needs. I would consider coming back if things improve.,3,2025-10-10,Group,the cleanliness was okay nothing special but met basic needs i would consider coming back if things improve,Neutral
The cleanliness was dusty. Very disappointed with the service. I would consider coming back if things improve.,2,2025-07-25,Family,the cleanliness was dusty very disappointed with the service i would consider coming back if things improve,Negative
The room was clean. Really enjoyed my stay! I would consider coming back if things improve.,4,2025-09-18,Group,the room was clean really enjoyed my stay i would consider coming back if things improve,Positive
The room was quiet. Really enjoyed my stay! I would consider coming back if things improve.,4,2025-09-01,Group,the room was quiet really enjoyed my stay i would consider coming back if things improve,Positive
The cleanliness was dusty. Very disappointed with the service. I would consider coming back if things improve.,2,2025-05-30,Group,the cleanliness was dusty very disappointed with the service i would consider coming back if things improve,Negative
The room was okay. Nothing special but met basic needs.,3,2025-02-24,Family,the room was okay nothing special but met basic needs,Neutral
The cleanliness was dusty. Very disappointed with the service. I would consider coming back if things improve.,2,2025-10-27,Group,the cleanliness was dusty very disappointed with the service i would consider coming back if things improve,Negative
The room was okay. Nothing special but met basic needs. I would consider coming back if things improve.,3,2025-12-19,Solo,the room was okay nothing special but met basic needs i would consider coming back if things improve,Neutral
The staff was helpful. Really enjoyed my stay! I would consider coming back if things improve.,4,2025-01-08,Group,the staff was helpful really enjoyed my stay i would consider coming back if things improve,Positive
The staff was helpful. Really enjoyed my stay!,5,2025-07-22,Business,the staff was helpful really enjoyed my stay,Positive
The cleanliness was moldy. Very disappointed with the service. I would consider coming back if things improve.,1,2025-09-29,Family,the cleanliness was moldy very disappointed with the service i would consider coming back if things improve,Negative
The room was spacious. Really enjoyed my stay!,5,2025-11-06,Business,the room was spacious really enjoyed my stay,Positive
The room was dirty. Very disappointed with the service.,1,2026-01-17,Business,the room was dirty very disappointed with the service,Negative
The cleanliness was fresh. Really enjoyed my stay!,4,2025-05-16,Family,the cleanliness was fresh really enjoyed my stay,Positive
The staff was friendly. Really enjoyed my stay!,4,2025-09-19,Family,the staff was friendly really enjoyed my stay,Positive
The food was limited. Very disappointed with the service.,1,2025-11-10,Business,the food was limited very disappointed with the service,Negative
The room was spacious. Really enjoyed my stay! I would consider coming back if things improve.,5,2025-07-23,Group,the room was spacious really enjoyed my stay i would consider coming back if things improve,Positive
The staff was helpful. Really enjoyed my stay! I would consider coming back if things improve.,4,2025-04-20,Group,the staff was helpful really enjoyed my stay i would consider coming back if things improve,Positive
The staff was professional. Really enjoyed my stay!,4,2025-11-28,Group,the staff was professional really enjoyed my stay,Positive
The room was spacious. Really enjoyed my stay! I would consider coming back if things improve.,5,2025-01-27,Solo,the room was spacious really enjoyed my stay i would consider coming back if things improve,Positive
The staff was rude. Very disappointed with the service.,1,2025-03-07,Business,the staff was rude very disappointed with the service,Negative
The cleanliness was dirty. Very disappointed with the service.,1,2025-03-14,Business,the cleanliness was dirty very disappointed with the service,Negative
The staff was professional. Really enjoyed my stay!,4,2025-06-03,Couple,the staff was professional really enjoyed my stay,Positive
The room was clean. Really enjoyed my stay! I would consider coming back if things improve.,4,2025-04-26,Group,the room was clean really enjoyed my stay i would consider coming back if things improve,Positive
The room was bed. Really enjoyed my stay!,5,2025-10-10,Group,the room was bed really enjoyed my stay,Positive
The food was tasty. Really enjoyed my stay! I would consider coming back if things improve.,5,2025-01-14,Business,the food was tasty really enjoyed my stay i would consider coming back if things improve,Positive
The cleanliness was spotless. Really enjoyed my stay!,4,2025-05-30,Solo,the cleanliness was spotless really enjoyed my stay,Positive
The room was bed. Really enjoyed my stay! I would consider coming back if things improve.,4,2025-03-11,Group,the room was bed really enjoyed my stay i would consider coming back if things improve,Positive
The staff was slow. Very disappointed with the service. I would consider coming back if things improve.,1,2025-10-19,Couple,the staff was slow very disappointed with the service i would consider coming back if things improve,Negative
The staff was friendly. Really enjoyed my stay!,4,2025-11-22,Couple,the staff was friendly really enjoyed my stay,Positive
The food was cold. Very disappointed with the service.,2,2025-07-23,Business,the food was cold very disappointed with the service,Negative
The cleanliness was fresh. Really enjoyed my stay!,4,2025-12-15,Solo,the cleanliness was fresh really enjoyed my stay,Positive
The room was clean. Really enjoyed my stay! I would consider coming back if things improve.,5,2025-12-09,Family,the room was clean really enjoyed my stay i would consider coming back if things improve,Positive
The food was delicious. Really enjoyed my stay! I would consider coming back if things improve.,5,2025-02-07,Business,the food was delicious really enjoyed my stay i would consider coming back if things improve,Positive
The staff was okay. Nothing special but met basic needs. I would consider coming back if things improve.,3,2025-12-12,Solo,the staff was okay nothing special but met basic needs i would consider coming back if things improve,Neutral
The staff was kind. Really enjoyed my stay! I would consider coming back if things improve.,5,2025-01-27,Solo,the staff was kind really enjoyed my stay i would consider coming back if things improve,Positive
The cleanliness was okay. Nothing special but met basic needs.,3,2026-01-13,Family,the cleanliness was okay nothing special but met basic needs,Neutral
The staff was professional. Really enjoyed my stay!,4,2025-12-11,Group,the staff was professional really enjoyed my stay,Positive
The cleanliness was spotless. Really enjoyed my stay! I would consider coming back if things improve.,4,2025-06-30,Business,the cleanliness was spotless really enjoyed my stay i would consider coming back if things improve,Positive
The cleanliness was okay. Nothing special but met basic needs. I would consider coming back if things improve.,3,2025-10-21,Group,the cleanliness was okay nothing special but met basic needs i would consider coming back if things improve,Neutral
The food was okay. Nothing special but met basic needs. I would consider coming back if things improve.,3,2025-03-13,Business,the food was okay nothing special but met basic needs i would consider coming back if things improve,Neutral
The cleanliness was fresh. Really enjoyed my stay!,4,2025-05-18,Solo,the cleanliness was fresh really enjoyed my stay,Positive
The food was limited. Very disappointed with the service.,1,2025-12-21,Solo,the food was limited very disappointed with the service,Negative
The room was bed. Really enjoyed my stay!,5,2025-06-24,Group,the room was bed really enjoyed my stay,Positive
The cleanliness was okay. Nothing special but met basic needs.,3,2025-10-17,Solo,the cleanliness was okay nothing special but met basic needs,Neutral
The cleanliness was fresh. Really enjoyed my stay!,4,2025-07-31,Solo,the cleanliness was fresh really enjoyed my stay,Positive
The room was clean. Really enjoyed my stay! I would consider coming back if things improve.,4,2025-07-01,Business,the room was clean really enjoyed my stay i would consider coming back if things improve,Positive
The cleanliness was spotless. Really enjoyed my stay!,4,2025-09-30,Couple,the cleanliness was spotless really enjoyed my stay,Positive
The food was tasty. Really enjoyed my stay!,4,2025-05-27,Family,the food was tasty really enjoyed my stay,Positive
The food was expensive. Very disappointed with the service.,1,2025-06-16,Group,the food was expensive very disappointed with the service,Negative
The staff was slow. Very disappointed with the service. I would consider coming back if things improve.,2,2025-03-17,Solo,the staff was slow very disappointed with the service i would consider coming back if things improve,Negative
The cleanliness was dusty. Very disappointed with the service. I would consider coming back if things improve.,1,2025-05-18,Solo,the cleanliness was dusty very disappointed with the service i would consider coming back if things improve,Negative
The staff was kind. Really enjoyed my stay!,5,2025-09-02,Group,the staff was kind really enjoyed my stay,Positive
The cleanliness was okay. Nothing special but met basic needs.,3,2025-01-04,Couple,the cleanliness was okay nothing special but met basic needs,Neutral
The room was okay. Nothing special but met basic needs. I would consider coming back if things improve.,3,2025-11-30,Business,the room was okay nothing special but met basic needs i would consider coming back if things improve,Neutral
The room was quiet. Really enjoyed my stay! I would consider coming back if things improve.,4,2025-06-30,Family,the room was quiet really enjoyed my stay i would consider coming back if things improve,Positive
The room was quiet. Really enjoyed my stay!,4,2025-08-21,Couple,the room was quiet really enjoyed my stay,Positive
The cleanliness was fresh. Really enjoyed my stay!,5,2025-07-11,Business,the cleanliness was fresh really enjoyed my stay,Positive
The staff was friendly. Really enjoyed my stay!,5,2025-08-08,Solo,the staff was friendly really enjoyed my stay,Positive
The room was spacious. Really enjoyed my stay!,5,2025-12-19,Business,the room was spacious really enjoyed my stay,Positive
The cleanliness was fresh. Really enjoyed my stay!,4,2026-01-30,Business,the cleanliness was fresh really enjoyed my stay,Positive
The room was clean. Really enjoyed my stay! I would consider coming back if things improve.,5,2025-11-01,Business,the room was clean really enjoyed my stay i would consider coming back if things improve,Positive
The food was tasty. Really enjoyed my stay! I would consider coming back if things improve.,4,2026-01-01,Business,the food was tasty really enjoyed my stay i would consider coming back if things improve,Positive
The food was okay. Nothing special but met basic needs.,3,2025-12-02,Family,the food was okay nothing special but met basic needs,Neutral
The staff was slow. Very disappointed with the service.,2,2025-04-05,Couple,the staff was slow very disappointed with the service,Negative
The room was noisy. Very disappointed with the service. I would consider coming back if things improve.,2,2025-04-26,Business,the room was noisy very disappointed with the service i would consider coming back if things improve,Negative
The room was okay. Nothing special but met basic needs.,3,2025-09-11,Business,the room was okay nothing special but met basic needs,Neutral
The staff was rude. Very disappointed with the service. I would consider coming back if things improve.,2,2026-01-22,Group,the staff was rude very disappointed with the service i would consider coming back if things improve,Negative
The room was quiet. Really enjoyed my stay!,4,2025-12-18,Solo,the room was quiet really enjoyed my stay,Positive
The food was expensive. Very disappointed with the service. I would consider coming back if things improve.,2,2025-08-01,Business,the food was expensive very disappointed with the service i would consider coming back if things improve,Negative
The food was cold. Very disappointed with the service. I would consider coming back if things improve.,1,2025-04-09,Business,the food was cold very disappointed with the service i would consider coming back if things improve,Negative
The food was cold. Very disappointed with the service. I would consider coming back if things improve.,1,2025-01-22,Business,the food was cold very disappointed with the service i would consider coming back if things improve,Negative
The room was small. Very disappointed with the service.,1,2025-01-05,Business,the room was small very disappointed with the service,Negative
The cleanliness was dusty. Very disappointed with the service.,1,2025-03-17,Business,the cleanliness was dusty very disappointed with the service,Negative
The food was okay. Nothing special but met basic needs. I would consider coming back if things improve.,3,2026-01-14,Group,the food was okay nothing special but met basic needs i would consider coming back if things improve,Neutral
The room was okay. Nothing special but met basic needs.,3,2025-08-22,Business,the room was okay nothing special but met basic needs,Neutral
The staff was slow. Very disappointed with the service.,2,2025-06-23,Couple,the staff was slow very disappointed with the service,Negative
The staff was unwelcoming. Very disappointed with the service.,1,2025-05-03,Solo,the staff was unwelcoming very disappointed with the service,Negative
The room was spacious. Really enjoyed my stay!,4,2025-03-14,Family,the room was spacious really enjoyed my stay,Positive
The staff was friendly. Really enjoyed my stay!,4,2025-10-04,Business,the staff was friendly really enjoyed my stay,Positive
The food was breakfast. Really enjoyed my stay!,5,2025-10-07,Solo,the food was breakfast really enjoyed my stay,Positive
The food was expensive. Very disappointed with the service.,1,2026-01-26,Couple,the food was expensive very disappointed with the service,Negative
The room was small. Very disappointed with the service.,2,2025-02-03,Couple,the room was small very disappointed with the service,Negative
The food was delicious. Really enjoyed my stay! I would consider coming back if things improve.,4,2025-01-18,Couple,the food was delicious really enjoyed my stay i would consider coming back if things improve,Positive
The staff was kind. Really enjoyed my stay!,4,2026-01-25,Group,the staff was kind really enjoyed my stay,Positive
The staff was kind. Really enjoyed my stay!,5,2025-02-25,Business,the staff was kind really enjoyed my stay,Positive
The staff was helpful. Really enjoyed my stay!,5,2025-11-19,Family,the staff was helpful really enjoyed my stay,Positive
The food was buffet. Really enjoyed my stay!,5,2026-02-03,Family,the food was buffet really enjoyed my stay,Positive
The cleanliness was hygienic. Really enjoyed my stay!,5,2025-12-18,Family,the cleanliness was hygienic really enjoyed my stay,Positive
The cleanliness was spotless. Really enjoyed my stay!,5,2025-12-13,Family,the cleanliness was spotless really enjoyed my stay,Positive
The cleanliness was moldy. Very disappointed with the service.,2,2025-12-16,Solo,the cleanliness was moldy very disappointed with the service,Negative
The room was okay. Nothing special but met basic needs. I would consider coming back if things improve.,3,2025-07-06,Family,the room was okay nothing special but met basic needs i would consider coming back if things improve,Neutral
The cleanliness was okay. Nothing special but met basic needs.,3,2026-01-13,Family,the cleanliness was okay nothing special but met basic needs,Neutral
The room was bed. Really enjoyed my stay! I would consider coming back if things improve.,5,2025-11-02,Solo,the room was bed really enjoyed my stay i would consider coming back if things improve,Positive
The cleanliness was fresh. Really enjoyed my stay!,5,2025-12-17,Solo,the cleanliness was fresh really enjoyed my stay,Positive
The room was noisy. Very disappointed with the service.,2,2025-01-20,Family,the room was noisy very disappointed with the service,Negative
